(x, y, cap, sonde, angle_sonde)
(0, 0, 0, 2.84, 79.9875)
(0, 0, 0, 2.833333, 81.95625)
(0, 0, 0, 2.833333, 87.8625)
(0, 0, 0, 2.84, 91.8)
(0, 0, 0, 2.973333, 95.7375)
(0, 0, 0, -1.0, 99.675)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 79.9875)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.84, 94.05)
(0, 0, 0, 2.973333, 96.01875)
(0, 0, 0, 2.84, 92.08125)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.84, 79.9875)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.84, 92.08125)
(0, 0, 0, -1.0, 97.9875)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 80.26875)
(0, 0, 0, 2.84, 80.26875)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.84, 92.08125)
(0, 0, 0, 2.98, 96.01875)
(0, 0, 0, -1.0, 97.9875)
(0, 0, 0, 2.84, 92.08125)
(0, 0, 0, 2.84, 88.14375)
(0, 0, 0, 2.693333, 84.20625)
(0, 0, 0, 2.84, 79.9875)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 3.0, 97.9875)
(0, 0, 0, -1.0, 96.01875)
(0, 0, 0, 2.973333, 90.1125)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 80.26875)
(0, 0, 0, 2.84, 80.26875)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.84, 94.05)
(0, 0, 0, 2.933333, 96.01875)
(0, 0, 0, 2.833333, 92.08125)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.833333, 79.9875)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.98, 90.1125)
(0, 0, 0, 2.986667, 97.9875)
(0, 0, 0, 2.98, 96.01875)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.84, 80.26875)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.98, 94.05)
(0, 0, 0, 2.98, 94.05)
(0, 0, 0, 2.833333, 92.08125)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 80.26875)
(0, 0, 0, 2.833333, 80.26875)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, -1.0, 99.95625)
(0, 0, 0, 2.98, 96.01875)
(0, 0, 0, 2.853333, 92.08125)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.833333, 80.26875)
(0, 0, 0, 2.946667, 80.26875)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.986667, 96.01875)
(0, 0, 0, 2.993333, 99.95625)
(0, 0, 0, 2.986667, 96.01875)
(0, 0, 0, 2.84, 92.08125)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.833333, 82.2375)
(0, 0, 0, 2.833333, 79.9875)
(0, 0, 0, 2.833333, 86.175)
(0, 0, 0, 2.833333, 88.14375)
(0, 0, 0, 2.846667, 94.05)
(0, 0, 0, 2.986667, 97.9875)
(0, 0, 0, -1.0, 97.9875)
(0, 0, 0, 2.986667, 96.01875)
(0, 0, 0, 2.84, 94.05)
(0, 0, 0, 2.84, 90.1125)
(0, 0, 0, 2.833333, 84.20625)
(0, 0, 0, 2.84, 86.175)
